2016-04-20 22:08:06 status unpacked base-passwd:armhf 3.5.39
2016-04-20 22:08:06 status unpacked base-passwd:armhf 3.5.39
2016-04-20 22:08:07 install bash:armhf <none> 4.3-14ubuntu1
2016-04-20 22:08:07 status half-installed bash:armhf 4.3-14ubuntu1
2016-04-20 22:08:07 status unpacked bash:armhf 4.3-14ubuntu1
2016-04-20 22:08:07 status unpacked bash:armhf 4.3-14ubuntu1
2016-04-20 22:08:07 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2016-04-20 22:08:07 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2016-04-20 22:08:07 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2016-04-20 22:08:07 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2016-04-20 22:08:07 install coreutils:armhf <none> 8.25-2ubuntu2
2016-04-20 22:08:07 status half-installed coreutils:armhf 8.25-2ubuntu2
2016-04-20 22:08:08 status unpacked coreutils:armhf 8.25-2ubuntu2
2016-04-20 22:08:08 status unpacked coreutils:armhf 8.25-2ubuntu2
2016-04-20 22:08:09 install dash:armhf <none> 0.5.8-2.1ubuntu2
2016-04-20 22:08:09 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2016-04-20 22:08:09 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2016-04-20 22:08:09 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2016-04-20 22:08:09 install debconf:all <none> 1.5.58ubuntu1
2016-04-20 22:08:09 status half-installed debconf:all 1.5.58ubuntu1
2016-04-20 22:08:10 status unpacked debconf:all 1.5.58ubuntu1
2016-04-20 22:08:10 status unpacked debconf:all 1.5.58ubuntu1
2016-04-20 22:08:10 install debianutils:armhf <none> 4.7
2016-04-20 22:08:10 status half-installed debianutils:armhf 4.7
2016-04-20 22:08:10 status unpacked debianutils:armhf 4.7
2016-04-20 22:08:10 status unpacked debianutils:armhf 4.7
2016-04-20 22:08:10 install diffutils:armhf <none> 1:3.3-3
2016-04-20 22:08:10 status half-installed diffutils:armhf 1:3.3-3
2016-04-20 22:08:10 status unpacked diffutils:armhf 1:3.3-3
2016-04-20 22:08:11 status unpacked diffutils:armhf 1:3.3-3
2016-04-20 22:08:11 upgrade dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2016-04-20 22:08:11 status half-configured dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:11 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:11 status half-installed dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:11 status half-installed dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:11 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:12 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-04-20 22:08:12 install e2fslibs:armhf <none> 1.42.13-1ubuntu1
2016-04-20 22:08:12 status half-installed e2fslibs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:12 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:12 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:12 install e2fsprogs:armhf <none> 1.42.13-1ubuntu1
2016-04-20 22:08:12 status half-installed e2fsprogs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:13 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:13 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:13 install findutils:armhf <none> 4.6.0+git+20160126-2
2016-04-20 22:08:13 status half-installed findutils:armhf 4.6.0+git+20160126-2
2016-04-20 22:08:13 status unpacked findutils:armhf 4.6.0+git+20160126-2
2016-04-20 22:08:13 status unpacked findutils:armhf 4.6.0+git+20160126-2
2016-04-20 22:08:13 install gcc-6-base:armhf <none> 6.0.1-0ubuntu1
2016-04-20 22:08:13 status half-installed gcc-6-base:armhf 6.0.1-0ubuntu1
2016-04-20 22:08:13 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2016-04-20 22:08:13 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2016-04-20 22:08:14 install grep:armhf <none> 2.24-1
2016-04-20 22:08:14 status half-installed grep:armhf 2.24-1
2016-04-20 22:08:14 status unpacked grep:armhf 2.24-1
2016-04-20 22:08:14 status unpacked grep:armhf 2.24-1
2016-04-20 22:08:14 install gzip:armhf <none> 1.6-4ubuntu1
2016-04-20 22:08:14 status half-installed gzip:armhf 1.6-4ubuntu1
